#      MET_(days)     MET_(hours)  Alt_J2_(km)  Alt_mer(km)  Perigee_(km)   Apogee_(km)  Latitude  Longitude  Eccentricity   TrueAnomly  Atm_Drag_(N)        Tn_(K)     F10.7_curr
      0.021875000       0.5250000     505.4495     503.8999      150.0000      600.0000  39.22080   31.94377   0.033352109  126.5036610    0.0000e+00        0.0000        116.000
      0.022222222       0.5333333     511.1417     510.0091      150.0000      600.0000  38.07306   33.72702   0.033352109  128.3866828    0.0000e+00        0.0000        116.000
      0.022569444       0.5416667     516.6712     515.9615      150.0000      600.0000  36.89721   35.44780   0.033352109  130.2664065    0.0000e+00        0.0000        116.000
      0.022916667       0.5500000     522.0336     521.7509      150.0000      600.0000  35.69546   37.10935   0.033352109  132.1429280    0.0000e+00        0.0000        116.000
      0.023263889       0.5583333     527.2249     527.3713      150.0000      600.0000  34.46985   38.71489   0.033352109  134.0163455    0.0000e+00        0.0000        116.000
      0.023611111       0.5666667     532.2412     532.8170      150.0000      600.0000  33.22226   40.26762   0.033352109  135.8867600    0.0000e+00        0.0000        116.000
      0.023958333       0.5750000     537.0787     538.0826      150.0000      600.0000  31.95446   41.77067   0.033352109  137.7542746    0.0000e+00        0.0000        116.000
      0.024305556       0.5833333     541.7340     543.1626      150.0000      600.0000  30.66807   43.22707   0.033352109  139.6189948    0.0000e+00        0.0000        116.000
      0.024652778       0.5916667     546.2036     548.0520      150.0000      600.0000  29.36462   44.63980   0.033352109  141.4810280    0.0000e+00        0.0000        116.000
      0.025000000       0.6000000     550.4844     552.7458      150.0000      600.0000  28.04550   46.01170   0.033352109  143.3404837    0.0000e+00        0.0000        116.000
      0.025347222       0.6083333     554.5735     557.2395      150.0000      600.0000  26.71201   47.34554   0.033352109  145.1974736    0.0000e+00        0.0000        116.000
      0.025694444       0.6166667     558.4680     561.5286      150.0000      600.0000  25.36536   48.64394   0.033352109  147.0521107    0.0000e+00        0.0000        116.000
      0.026041667       0.6250000     562.1653     565.6087      150.0000      600.0000  24.00667   49.90946   0.033352109  148.9045100    0.0000e+00        0.0000        116.000
      0.026388889       0.6333333     565.6629     569.4760      150.0000      600.0000  22.63698   51.14453   0.033352109  150.7547880    0.0000e+00        0.0000        116.000
      0.026736111       0.6416667     568.9585     573.1266      150.0000      600.0000  21.25727   52.35148   0.033352109  152.6030629    0.0000e+00        0.0000        116.000
      0.027083333       0.6500000     572.0499     576.5569      150.0000      600.0000  19.86843   53.53254   0.033352109  154.4494539    0.0000e+00        0.0000        116.000
      0.027430556       0.6583333     574.9352     579.7636      150.0000      600.0000  18.47132   54.68987   0.033352109  156.2940817    0.0000e+00        0.0000        116.000
      0.027777778       0.6666667     577.6124     582.7435      150.0000      600.0000  17.06673   55.82551   0.033352109  158.1370683    0.0000e+00        0.0000        116.000
      0.028125000       0.6750000     580.0799     585.4939      150.0000      600.0000  15.65541   56.94146   0.033352109  159.9785368    0.0000e+00        0.0000        116.000
      0.028472222       0.6833333     582.3362     588.0120      150.0000      600.0000  14.23806   58.03961   0.033352109  161.8186110    0.0000e+00        0.0000        116.000
